words,1,2,3,dop,l_en,r_en,score,diff_en,rep_words,dop1,l_en1,r_en1,diff_en1,score1
不值,1.6156707e-06,0.0020325137,1257.9999732612607,-8.483844,1.0413927,1.8750613,-5.5673895,-0.8336686,面前一不值,-6.543327,1.5682018,1.6334685,-0.06526670000000001,-3.3416567
还有就,1.6156707e-06,0.0013216187,818.0000149174019,-8.612078,2.3159704,0.47712126,-5.818986,1.8388491399999998,,,,,,
不符,1.6156707e-06,0.00075128686,464.99998381602614,-8.718585,2.4329693,1.1760913,-5.1095247,1.256878,不符合,-9.18256,1.845098,1.8325089,0.012589099999999798,-5.504953
好贵,1.6156707e-06,0.0003861453,238.9999891637741,-7.9505677,0.30103,1.968483,-5.6810546,-1.667453,好贵好贵,-6.951431,1.6627579,1.5910646,0.07169329999999996,-3.6976085
骗人的,7.875978e-06,0.0017190735999999998,218.2679665841737,-7.763851,0.7781513,1.50515,-5.48055,-0.7269987,是骗人,,,,,
电了,1.6156707e-06,0.00029082072,179.99999605955418,-9.598168,1.748188,2.5092025,-5.340778,-0.7610144999999997,没电,-8.878954,1.8808136,2.1271048,-0.24629120000000015,-4.8710356
过期的,1.6156707e-06,0.00028758938,177.99999690393543,-6.7885547,0.0,1.0,-5.7885547,-1.0,快过期,,,,,
结果第二,1.6156707e-06,0.0002536603,157.00000576993847,-8.292281,2.0863597,1.146128,-5.059793,0.9402317,结果第二天,-7.435684,1.8325089,2.071882,-0.2393730999999999,-3.5312932
信了,1.6156707e-06,0.00024073494,149.00000014073018,-8.928853,1.20412,1.9956352,-5.729098,-0.7915151999999999,我信,,,,,
信用,1.6156707e-06,0.00024073494,149.00000014073018,-8.313605,0.47712126,2.1139433,-5.722541,-1.6368220399999998,阳光信用,-8.289353,1.763428,2.2455127,-0.4820846999999999,-4.2804127
认了,1.6156707e-06,0.0002375036,147.00000098511146,-9.263132,1.690196,2.4132998,-5.1596365,-0.7231037999999999,承认,-9.4029045,1.9395193,1.6434526,0.2960666999999999,-5.8199325
个问题,1.6156707e-06,0.00023265659,144.0000022516833,-8.273592,0.845098,1.69897,-5.729524,-0.8538720000000001,这个问题,-9.13183,1.69897,1.7853298,-0.08635979999999988,-5.6475306
出错,1.6156707e-06,0.0002261939,139.99999493371254,-8.567796,1.4149734,2.146128,-5.006695,-0.7311546,不会出错,-8.085486,1.1139433,1.3222193,-0.2082759999999999,-5.649324
又贵,1.6156707e-06,0.00022134687999999999,136.99999620028441,-8.909104,1.9395193,1.146128,-5.823457,0.7933912999999999,又贵又,-8.539414,1.7923917,1.4313638,0.36102790000000007,-5.3156586
0分,1.6156707e-06,0.00021811554,134.99999704466566,-8.800178,1.146128,1.9242793,-5.72977,-0.7781513,10分,-8.65457,1.30103,1.5314789,-0.23044890000000007,-5.8220606
也差,1.6156707e-06,0.00020842151999999998,128.99999957780938,-8.766485,2.7566361,1.8325089,-4.17734,0.9241272,差不多,-8.421426,1.3617278,1.30103,0.060697800000000024,-5.758668
结果呢,1.6156707e-06,0.00020519018,127.00000042219062,-8.279069,1.80618,0.90309,-5.569799,0.90309,,,,,,
真的很不,1.6156707e-06,0.00020195883999999997,125.00000126657187,-8.834564,2.4727564,1.7160033,-4.6458044,0.7567531000000003,真的很不错,-7.3050036,2.7817554,2.460898,0.3208574000000004,-2.0623503
用了两,1.6156707e-06,0.00019711183000000002,122.00000253314371,-8.522796,2.30103,1.447158,-4.7746077,0.853872,用了两年,-8.510043,1.7160033,1.30103,0.4149733,-5.4930096
了事,1.6156707e-06,0.00019549616,121.00000295533434,-9.383689,2.3201463,1.3802112,-5.683331,0.9399351000000002,事实上,-8.95062,1.7853298,1.4771212,0.30820859999999994,-5.6881685
百多,1.6156707e-06,0.00019226481,118.99999479298236,-9.003347,1.3222193,2.369216,-5.311912,-1.0469967000000002,两百多,-8.998024,1.5563025,1.6627579,-0.10645539999999998,-5.7789636
差劲了,1.6156707e-06,0.00019064914,117.99999521517296,-8.246161,0.845098,1.770852,-5.6302114,-0.9257540000000001,差劲,-8.287073,1.5440681,1.7993406,-0.2552725,-4.943664
发货时,1.6156707e-06,0.00018903346999999998,116.99999563736358,-8.345937,2.2253094,1.447158,-4.6734695,0.7781514,发货时间,-7.3955216,1.7403626,1.60206,0.13830260000000005,-4.053099
大不,1.6156707e-06,0.0001874178,115.99999605955419,-9.604761,2.4265113,1.4149734,-5.7632766,1.0115379,大不一样,-9.025592,1.6532125,2.0413928,-0.38818030000000014,-5.3309865
口子,1.6156707e-06,0.00018418646,113.99999690393543,-9.014717,1.5314789,2.269513,-5.213725,-0.7380340999999999,两口子,-8.817807,1.3617278,1.7323937,-0.3706659000000001,-5.7236857
难道不,1.6156707e-06,0.00018418646,113.99999690393543,-8.960016,2.2878017,1.50515,-5.1670647,0.7826517000000002,,,,,,
味道淡,1.6156707e-06,0.00018095511999999999,111.99999774831669,-8.180903,1.9590414,1.1760913,-5.0457706,0.7829501000000001,味道淡淡,,,,,
是没问题,1.6156707e-06,0.00017610811,108.99999901488856,-8.363537,2.2227166,1.50515,-4.6356707,0.7175666,没问题,-8.477297,1.2552725,1.4313638,-0.17609129999999995,-5.790661
是没谁了,1.6156707e-06,0.00017287677,106.99999985926979,-8.256256,0.69897,1.8260748,-5.7312117,-1.1271048000000001,是没谁,-7.6258426,1.447158,1.3424227,0.10473529999999998,-4.8362617
了了,1.6156707e-06,0.00016964543000000002,105.00000070365104,-7.2133317,0.30103,1.146128,-5.7661734,-0.845098,没完没了,-9.307364,2.0253057,1.5563025,0.4690032000000002,-5.725756
发一,1.6156707e-06,0.00016964543000000002,105.00000070365104,-9.625598,2.3926969,1.6720978,-5.5608034,0.7205990999999998,发一条,-9.124639,1.6127839,1.7993406,-0.18655670000000013,-5.712514
根本不值,1.6156707e-06,0.00016802976,104.00000112584164,-7.7467003,1.8808136,1.0,-4.8658867,0.8808136,,,,,,
好意思,1.6156707e-06,0.00016802976,104.00000112584164,-8.845074,1.146128,2.1003706,-5.5985746,-0.9542426000000002,不好意思,-8.553317,1.230449,1.5185139,-0.2880649000000002,-5.8043547
我失望,1.6156707e-06,0.00016802976,104.00000112584164,-8.5692215,0.90309,2.0211892,-5.6449423,-1.1180991999999998,没让我失望,-6.972327,2.0681858,2.071882,-0.0036961999999998163,-2.8322594
理人,1.6156707e-06,0.0001599514,99.00000323679475,-8.242181,0.845098,1.6627579,-5.734325,-0.8176598999999999,主理人,-8.780913,1.5185139,1.50515,0.013363900000000095,-5.75725
不合,1.6156707e-06,0.00015833573999999998,98.00000365898536,-9.375115,2.5276299,1.6334685,-5.214017,0.8941614,不合格,-8.394238,1.2787536,1.30103,-0.022276399999999974,-5.8144546
不值得买,1.6156707e-06,0.00015672005,96.99999507444277,-7.5514417,1.0,1.8750613,-4.67638,-0.8750613,值不值得买,-6.8862176,1.9637878,1.7403626,0.22342519999999988,-3.1820674
再好,1.6156707e-06,0.00015672005,96.99999507444277,-9.24342,2.4983106,1.6127839,-5.132325,0.8855267,再好不过,-8.116113,1.4913617,1.6532125,-0.16185080000000007,-4.9715385
也慢,1.6156707e-06,0.00015025736999999998,92.99999676320525,-8.828924,2.604226,1.6127839,-4.611914,0.9914421000000002,慢慢,-5.756649,0.0,0.0,0.0,-5.756649
也没问,1.6156707e-06,0.0001486417,91.99999718539587,-8.170352,2.4814427,1.690196,-3.9987135,0.7912467000000001,没问题,-8.477297,1.2552725,1.4313638,-0.17609129999999995,-5.790661
还算不,1.6156707e-06,0.00014702603000000001,90.99999760758648,-8.172555,2.372912,1.447158,-4.352485,0.925754,还算不错,-7.9389625,1.7242758,1.8573325,-0.13305670000000003,-4.357354
他们不,1.6156707e-06,0.00014379469,88.99999845196774,-9.463416,2.2988532,1.447158,-5.7174053,0.8516952,他们不仅,-7.753016,2.0,1.8129133,0.18708670000000005,-3.9401026
挺不,1.6156707e-06,0.00014379469,88.99999845196774,-9.112422,2.2966652,1.50515,-5.310607,0.7915152000000001,挺不错,,,,,
弄不,1.6156707e-06,0.00014217902,87.99999887415835,-8.812234,1.9777236,1.2552725,-5.579238,0.7224511,弄不明白,-8.167469,1.1139433,1.3617278,-0.24778449999999985,-5.691798
问题不,1.6156707e-06,0.00014217902,87.99999887415835,-8.783109,2.1931245,1.30103,-5.288954,0.8920945000000002,问题不大,-8.339901,2.0863597,1.60206,0.4842997,-4.651481
骗消费者,8.7510864e-07,7.593652e-05,86.77382180819656,-8.177925,0.90309,2.0128372,-5.261998,-1.1097472,欺骗消费者,-6.216957,2.220108,2.0043213,0.21578670000000022,-1.9925277
